sensor,value,datetime
HUM,61.0,2019-01-03 02:30:00+00:00
PRES,1021.2,2019-01-03 02:30:00+00:00
TC,17.595852,2019-01-03 03:30:00+00:00
HUM,56.00000000000001,2019-01-03 03:30:00+00:00
PRES,1021.53,2019-01-03 03:30:00+00:00
TC,20.573868,2019-01-03 04:30:00+00:00
HUM,48.0,2019-01-03 04:30:00+00:00
PRES,1021.41,2019-01-03 04:30:00+00:00
TC,23.101848,2019-01-03 05:30:00+00:00
HUM,42.0,2019-01-03 05:30:00+00:00
PRES,1021.26,2019-01-03 05:30:00+00:00
TC,24.840875999999994,2019-01-03 06:30:00+00:00
HUM,37.0,2019-01-03 06:30:00+00:00
PRES,1020.82,2019-01-03 06:30:00+00:00
TC,26.235432,2019-01-03 07:30:00+00:00
HUM,34.0,2019-01-03 07:30:00+00:00
PRES,1019.81,2019-01-03 07:30:00+00:00
TC,26.463228,2019-01-03 08:30:00+00:00
HUM,32.0,2019-01-03 08:30:00+00:00
PRES,1018.82,2019-01-03 08:30:00+00:00
TC,26.435448,2019-01-03 09:30:00+00:00
HUM,32.0,2019-01-03 09:30:00+00:00
PRES,1018.02,2019-01-03 09:30:00+00:00
TC,25.86318,2019-01-03 10:30:00+00:00
HUM,34.0,2019-01-03 10:30:00+00:00
PRES,1017.87,2019-01-03 10:30:00+00:00
TC,24.113039999999998,2019-01-03 11:30:00+00:00
HUM,38.0,2019-01-03 11:30:00+00:00
PRES,1018.14,2019-01-03 11:30:00+00:00
TC,22.346232,2019-01-03 12:30:00+00:00
HUM,40.0,2019-01-03 12:30:00+00:00
PRES,1018.41,2019-01-03 12:30:00+00:00
TC,20.546088,2019-01-03 13:30:00+00:00
HUM,44.0,2019-01-03 13:30:00+00:00
PRES,1018.96,2019-01-03 13:30:00+00:00
TC,18.80706,2019-01-03 14:30:00+00:00
HUM,47.0,2019-01-03 14:30:00+00:00
PRES,1019.52,2019-01-03 14:30:00+00:00
TC,17.351387999999996,2019-01-03 15:30:00+00:00
HUM,50.0,2019-01-03 15:30:00+00:00
PRES,1019.79,2019-01-03 15:30:00+00:00
TC,16.22352,2019-01-03 16:30:00+00:00
HUM,54.0,2019-01-03 16:30:00+00:00
PRES,1019.78,2019-01-03 16:30:00+00:00
TC,15.340116,2019-01-03 17:30:00+00:00
HUM,56.99999999999999,2019-01-03 17:30:00+00:00
PRES,1019.64,2019-01-03 17:30:00+00:00
TC,14.406707999999998,2019-01-03 18:30:00+00:00
HUM,61.0,2019-01-03 18:30:00+00:00
PRES,1019.56,2019-01-03 18:30:00+00:00
TC,13.484411999999999,2019-01-03 19:30:00+00:00
HUM,63.0,2019-01-03 19:30:00+00:00
PRES,1019.56,2019-01-03 19:30:00+00:00
TC,12.601008,2019-01-03 20:30:00+00:00
HUM,65.0,2019-01-03 20:30:00+00:00
PRES,1019.43,2019-01-03 20:30:00+00:00
TC,11.673156,2019-01-03 21:30:00+00:00
HUM,68.0,2019-01-03 21:30:00+00:00
PRES,1019.43,2019-01-03 21:30:00+00:00
TC,10.845312000000002,2019-01-03 22:30:00+00:00
HUM,69.0,2019-01-03 22:30:00+00:00
PRES,1019.54,2019-01-03 22:30:00+00:00
TC,11.184228,2019-01-03 23:30:00+00:00
